tax_id	species	genus	family	order	class	phylum	superkingdom
204284	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
154113	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
559914	NA	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
531515	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
365828	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
137878	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
208818	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
271885	NA	NA	NA	koll13	Actinobacteria	Actinobacteria	Bacteria
67031	NA	NA	NA	koll13	Actinobacteria	Actinobacteria	Bacteria
12812	NA	NA	NA	koll13	Actinobacteria	Actinobacteria	Bacteria
335721	NA	NA	NA	koll13	Actinobacteria	Actinobacteria	Bacteria
241082	NA	NA	NA	koll13	Actinobacteria	Actinobacteria	Bacteria
349592	NA	NA	NA	koll13	Actinobacteria	Actinobacteria	Bacteria
512499	NA	NA	NA	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
160075	NA	NA	Microthrixaceae	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
543676	NA	NA	Microthrixaceae	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
215846	NA	NA	Microthrixaceae	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
145898	NA	NA	Microthrixaceae	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
229799	NA	NA	ZA3612c	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
330721	NA	NA	wb1_P06	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
228452	NA	NA	wb1_P06	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
317641	NA	NA	NA	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
222364	NA	NA	NA	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
223441	NA	NA	NA	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
512041	NA	NA	Iamiaceae	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
125157	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
575662	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
572076	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
550158	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
550926	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
589088	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
310346	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
325555	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
509624	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
276603	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
581081	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
140384	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
354357	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
113190	NA	NA	CL500-29	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
245969	NA	NA	NA	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
529793	NA	NA	EB1017	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
84258	NA	NA	EB1017	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
236284	NA	NA	EB1017	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
223447	NA	NA	EB1017	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
581739	NA	NA	NA	0319-7L14	Actinobacteria	Actinobacteria	Bacteria
203722	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
327290	NA	Pseudonocardia	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
175954	Pseudonocardiahalophobica	Pseudonocardia	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12926	NA	Pseudonocardia	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
35860	NA	Pseudonocardia	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12988	NA	Crossiella	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
273055	Micromonosporaechinaurantiaca	Micromonospora	Micromonosporaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
50040	NA	NA	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
264455	NA	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
128098	NA	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
305551	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
104294	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
234186	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
11431	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
152323	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
270517	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
331234	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
193229	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
525816	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
110305	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
548945	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
546222	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
312041	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
160626	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
318920	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
578307	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
235395	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
105395	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
313857	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
355132	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
252398	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
350893	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
351161	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
331093	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
317658	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
249078	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
123714	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
329744	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
104500	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
581541	NA	NA	ACK-M1	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
11621	NA	NA	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
252888	NA	NA	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
104265	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
250241	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
223578	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
83514	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
554377	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
11451	NA	Sporichthya	Sporichthyaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
223418	NA	NA	Geodermatophilaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
11448	NA	NA	Nakamurellaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
147604	NA	NA	Nakamurellaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
83082	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
146122	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
153548	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
242751	Kineococcusradiotolerans	Kineococcus	Kineosporiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
269218	NA	NA	Kineosporiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
190663	NA	NA	Kineosporiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
242450	NA	Tropheryma	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
546690	NA	Pseudoclavibacter	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
207157	NA	Leucobacter	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
230342	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
229136	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
307298	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
269755	NA	CandidatusRhodoluna	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
311254	CandidatusRhodolunalacicola	CandidatusRhodoluna	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
542975	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
240200	CandidatusAquilunarubra	CandidatusAquiluna	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
240435	CandidatusAquilunarubra	CandidatusAquiluna	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
263950	NA	Microcella	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
398836	NA	Microcella	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
177797	NA	Yonghaparkia	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
292764	NA	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
362552	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
59853	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
19936	Clavibactermichiganensis	Clavibacter	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
226363	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
218035	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
130238	NA	Frigoribacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
223546	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
38522	NA	NA	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
35440	Curtobacteriumflaccumfaciens	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
556066	NA	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
593699	NA	NA	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
29284	Tetrasphaerajenkinsii	Tetrasphaera	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
145846	Knoelliasubterranea	Knoellia	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
239951	NA	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
219876	NA	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
236808	NA	Phycicoccus	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
529501	NA	Brachybacterium	Dermabacteraceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
113648	NA	NA	Dermabacteraceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12533	Dermabacterhominis	Dermabacter	Dermabacteraceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
33876	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
369064	NA	Dermacoccus	Dermacoccaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
240850	NA	Dermacoccus	Dermacoccaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
109814	NA	Kytococcus	Dermacoccaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
102681	NA	NA	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
157133	NA	Serinicoccus	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12321	NA	Cellulomonas	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
249637	NA	Demequina	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
289962	NA	Demequina	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12346	Actinotaleafermentans	Actinotalea	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
375136	NA	NA	NA	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
44206	NA	NA	Beutenbergiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
139651	NA	Georgenia	Bogoriellaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
524457	NA	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470273	Actinomycessp.oraltaxon848	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
83011	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
79234	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
26061	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
583523	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
584347	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
103151	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12561	Actinomycesdenticolens	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
24150	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470693	Mobiluncuscurtisii	Mobiluncus	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
131712	NA	Varibaculum	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
131783	Actinomycesneuii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
67513	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
152869	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12570	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
23235	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
12567	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
252421	NA	Brevibacterium	Brevibacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
36025	Brevibacteriumpaucivorans	Brevibacterium	Brevibacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
100122	NA	Brevibacterium	Brevibacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
266173	NA	Brevibacterium	Brevibacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
230376	NA	Nesterenkonia	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
555009	Kocuriarosea	Kocuria	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
529839	NA	Kocuria	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
567669	Kocuriapalustris	Kocuria	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
566596	NA	Rothia	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
543491	NA	Rothia	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
58301	Rothiaaeria	Rothia	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
471141	Rothiamucilaginosa	Rothia	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
193899	NA	Sinomonas	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
100937	Micrococcusluteus	Micrococcus	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
581042	NA	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
267323	NA	NA	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
554201	NA	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
136467	NA	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
270098	NA	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
251817	NA	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
101943	NA	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
272208	Dietziamaris	Dietzia	Dietziaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
320879	NA	NA	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
13459	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470178	Corynebacteriumaurimucosum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
552026	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
305123	Corynebacteriumriegelii	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
544910	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
261774	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
13453	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470207	Corynebacteriumlipophiloflavum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
534507	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
13456	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
451398	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470190	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
270102	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470219	Corynebacteriumtuberculostearicum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
410908	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
82696	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
13420	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
58295	Corynebacteriumdurum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
557799	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470200	Corynebacteriumglucuronolyticum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470188	Corynebacteriumefficiens	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
361871	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
470213	Corynebacteriummatruchotii	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
536902	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
358127	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
81096	NA	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
241543	NA	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
13581	Rhodococcusfascians	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
131262	NA	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
142287	Williamsiamuralis	Williamsia	Williamsiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
154902	NA	Gordonia	Gordoniaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
36832	NA	Gordonia	Gordoniaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
558953	Gordoniaamarae	Gordonia	Gordoniaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
