multipatt IndVal.g summary (verbatim):
323551 0.880  0.0032 ** 
552003 0.879  0.0024 ** 
156353 0.879  0.0024 ** 
155536 0.879  0.0042 ** 
560655 0.879  0.0116 *  
157434 0.879  0.0074 ** 
109907 0.879  0.0070 ** 
104784 0.878  0.0035 ** 
210139 0.878  0.0055 ** 
152259 0.878  0.0048 ** 
67478  0.877  0.0046 ** 
309862 0.877  0.0023 ** 
106097 0.877  0.0026 ** 
583255 0.877  0.0008 ***
534616 0.877  0.0008 ***
141394 0.876  0.0023 ** 
207957 0.876  0.0009 ***
162841 0.875  0.0101 *  
234901 0.875  0.0015 ** 
125736 0.874  0.0011 ** 
558915 0.874  0.0019 ** 
232382 0.874  0.0011 ** 
257151 0.873  0.0045 ** 
564650 0.873  0.0024 ** 
103710 0.873  0.0015 ** 
99927  0.873  0.0183 *  
181996 0.872  0.0035 ** 
225864 0.872  0.0016 ** 
306180 0.871  0.0165 *  
287160 0.869  0.0176 *  
130615 0.868  0.0140 *  
534067 0.865  0.0098 ** 
551992 0.865  0.0056 ** 
525801 0.865  0.0013 ** 
142131 0.865  0.0028 ** 
541963 0.865  0.0034 ** 
97049  0.865  0.0028 ** 
219174 0.864  0.0094 ** 
536916 0.863  0.0064 ** 
142943 0.861  0.0028 ** 
112955 0.858  0.0018 ** 
328912 0.856  0.0014 ** 
221331 0.856  0.0015 ** 
532163 0.856  0.0029 ** 
350893 0.854  0.0052 ** 
95883  0.853  0.0059 ** 
105727 0.852  0.0053 ** 
193738 0.851  0.0036 ** 
160114 0.851  0.0317 *  
44265  0.851  0.0168 *  
560879 0.850  0.0189 *  
137145 0.849  0.0195 *  
245116 0.849  0.0028 ** 
422910 0.849  0.0030 ** 
512079 0.849  0.0043 ** 
306684 0.848  0.0044 ** 
33253  0.846  0.0099 ** 
576674 0.846  0.0040 ** 
105946 0.844  0.0086 ** 
113866 0.843  0.0077 ** 
241011 0.843  0.0107 *  
131589 0.842  0.0042 ** 
254119 0.839  0.0093 ** 
80896  0.838  0.0034 ** 
563357 0.838  0.0019 ** 
222900 0.838  0.0036 ** 
142335 0.838  0.0038 ** 
252314 0.837  0.0065 ** 
587796 0.836  0.0042 ** 
141024 0.836  0.0150 *  
5771   0.835  0.0285 *  
5802   0.834  0.0061 ** 
519257 0.833  0.0045 ** 
278532 0.832  0.0040 ** 
240200 0.832  0.0496 *  
593908 0.828  0.0089 ** 
540412 0.827  0.0089 ** 
277681 0.827  0.0034 ** 
243487 0.822  0.0048 ** 
535322 0.822  0.0056 ** 
558480 0.814  0.0081 ** 
537948 0.814  0.0052 ** 
581542 0.814  0.0064 ** 
246321 0.814  0.0146 *  
556474 0.809  0.0042 ** 
253894 0.807  0.0244 *  
92490  0.804  0.0081 ** 
217733 0.802  0.0314 *  
6365   0.799  0.0087 ** 
331234 0.791  0.0115 *  
306546 0.791  0.0107 *  
133568 0.791  0.0064 ** 
113128 0.791  0.0046 ** 
544772 0.791  0.0156 *  
236892 0.791  0.0149 *  
282480 0.791  0.0108 *  
277679 0.790  0.0146 *  
317724 0.784  0.0238 *  
332717 0.782  0.0151 *  
549322 0.775  0.0092 ** 
515691 0.775  0.0092 ** 
525464 0.775  0.0092 ** 
45742  0.775  0.0092 ** 
570593 0.775  0.0092 ** 
62881  0.775  0.0092 ** 
329648 0.775  0.0092 ** 
140729 0.775  0.0092 ** 
219191 0.775  0.0092 ** 
412056 0.775  0.0092 ** 
79     0.775  0.0092 ** 
101553 0.775  0.0092 ** 
134    0.775  0.0092 ** 
228569 0.775  0.0092 ** 
246686 0.775  0.0092 ** 
67031  0.775  0.0092 ** 
512499 0.775  0.0092 ** 
160075 0.775  0.0092 ** 
543676 0.775  0.0092 ** 
145898 0.775  0.0092 ** 
125157 0.775  0.0092 ** 
575662 0.775  0.0092 ** 
581081 0.775  0.0092 ** 
113190 0.775  0.0092 ** 
84258  0.775  0.0092 ** 
223447 0.775  0.0092 ** 
581739 0.775  0.0092 ** 
11451  0.775  0.0092 ** 
542335 0.775  0.0092 ** 
335847 0.775  0.0092 ** 
227609 0.775  0.0092 ** 
251512 0.775  0.0092 ** 
519715 0.775  0.0092 ** 
63216  0.775  0.0092 ** 
221514 0.775  0.0092 ** 
143845 0.775  0.0092 ** 
245878 0.775  0.0092 ** 
137756 0.775  0.0092 ** 
592858 0.775  0.0092 ** 
210194 0.775  0.0092 ** 
221509 0.775  0.0092 ** 
279083 0.775  0.0092 ** 
250119 0.775  0.0092 ** 
581579 0.775  0.0092 ** 
519627 0.775  0.0092 ** 
240452 0.775  0.0092 ** 
541147 0.775  0.0092 ** 
352281 0.775  0.0092 ** 
221665 0.775  0.0092 ** 
142009 0.775  0.0092 ** 
202563 0.775  0.0092 ** 
528137 0.775  0.0092 ** 
336177 0.775  0.0092 ** 
553899 0.775  0.0092 ** 
234236 0.775  0.0092 ** 
245525 0.775  0.0092 ** 
43046  0.775  0.0092 ** 
6749   0.775  0.0092 ** 
147910 0.775  0.0092 ** 
30390  0.775  0.0092 ** 
144181 0.775  0.0092 ** 
551430 0.775  0.0092 ** 
230074 0.775  0.0092 ** 
6713   0.775  0.0092 ** 
148449 0.775  0.0092 ** 
325942 0.775  0.0092 ** 
233959 0.775  0.0092 ** 
562528 0.775  0.0092 ** 
539260 0.775  0.0092 ** 
509637 0.775  0.0092 ** 
157564 0.775  0.0246 *  
224948 0.775  0.0092 ** 
587586 0.775  0.0092 ** 
576928 0.775  0.0092 ** 
141075 0.775  0.0101 *  
347702 0.775  0.0092 ** 
37911  0.775  0.0092 ** 
260565 0.775  0.0092 ** 
327001 0.775  0.0092 ** 
107290 0.775  0.0092 ** 
141423 0.775  0.0092 ** 
48494  0.775  0.0092 ** 
8084   0.775  0.0092 ** 
45263  0.775  0.0092 ** 
156654 0.775  0.0092 ** 
254180 0.775  0.0092 ** 
197820 0.775  0.0092 ** 
7541   0.775  0.0092 ** 
56552  0.775  0.0092 ** 
573373 0.775  0.0092 ** 
155504 0.775  0.0092 ** 
539199 0.775  0.0092 ** 
359435 0.775  0.0092 ** 
204506 0.775  0.0092 ** 
216594 0.775  0.0092 ** 
588630 0.775  0.0092 ** 
287211 0.775  0.0092 ** 
588231 0.775  0.0093 ** 
248505 0.775  0.0092 ** 
315986 0.775  0.0092 ** 
136235 0.775  0.0092 ** 
162925 0.775  0.0092 ** 
537864 0.775  0.0092 ** 
225699 0.775  0.0092 ** 
152480 0.775  0.0092 ** 
114978 0.775  0.0092 ** 
172883 0.775  0.0092 ** 
248682 0.775  0.0092 ** 
591539 0.775  0.0092 ** 
355688 0.775  0.0092 ** 
568966 0.775  0.0084 ** 
18609  0.775  0.0092 ** 
211469 0.775  0.0092 ** 
530619 0.775  0.0092 ** 
231965 0.775  0.0092 ** 
219048 0.775  0.0092 ** 
199553 0.775  0.0101 *  
532912 0.775  0.0092 ** 
58135  0.775  0.0092 ** 
277643 0.775  0.0089 ** 
133044 0.775  0.0089 ** 
277150 0.775  0.0092 ** 
217352 0.775  0.0092 ** 
239473 0.775  0.0092 ** 
266671 0.775  0.0092 ** 
547121 0.775  0.0092 ** 
590338 0.775  0.0092 ** 
583342 0.775  0.0092 ** 
149503 0.775  0.0092 ** 
10776  0.775  0.0092 ** 
558853 0.775  0.0092 ** 
536721 0.775  0.0092 ** 
155465 0.775  0.0092 ** 
560302 0.775  0.0092 ** 
578505 0.775  0.0092 ** 
571785 0.775  0.0092 ** 
543826 0.775  0.0092 ** 
224441 0.775  0.0092 ** 
171180 0.775  0.0092 ** 
537744 0.775  0.0092 ** 
10860  0.775  0.0092 ** 
10845  0.775  0.0092 ** 
10858  0.775  0.0092 ** 
269237 0.775  0.0092 ** 
587689 0.775  0.0092 ** 
203169 0.775  0.0092 ** 
534010 0.775  0.0092 ** 
546745 0.775  0.0092 ** 
280179 0.775  0.0092 ** 
162310 0.775  0.0092 ** 
561836 0.775  0.0092 ** 
546717 0.775  0.0092 ** 
184957 0.775  0.0092 ** 
593701 0.775  0.0092 ** 
512958 0.775  0.0092 ** 
554930 0.775  0.0092 ** 
569150 0.775  0.0092 ** 
63254  0.775  0.0092 ** 
34143  0.775  0.0092 ** 
180225 0.775  0.0092 ** 
569641 0.775  0.0092 ** 
218005 0.775  0.0092 ** 
119236 0.775  0.0092 ** 
381777 0.775  0.0092 ** 
346925 0.775  0.0092 ** 
540681 0.775  0.0092 ** 
565517 0.775  0.0092 ** 
560806 0.775  0.0092 ** 
218567 0.775  0.0092 ** 
562536 0.775  0.0092 ** 
586966 0.775  0.0092 ** 
565643 0.775  0.0092 ** 
108677 0.775  0.0092 ** 
565375 0.775  0.0092 ** 
207878 0.775  0.0092 ** 
136119 0.775  0.0092 ** 
130774 0.775  0.0092 ** 
582110 0.775  0.0092 ** 
242301 0.775  0.0092 ** 
177418 0.775  0.0092 ** 
169586 0.775  0.0092 ** 
236994 0.775  0.0092 ** 
143335 0.775  0.0092 ** 
244045 0.775  0.0092 ** 
591167 0.775  0.0092 ** 
582001 0.775  0.0092 ** 
571587 0.775  0.0092 ** 
141399 0.775  0.0092 ** 
109573 0.775  0.0092 ** 
142841 0.775  0.0092 ** 
141881 0.775  0.0092 ** 
549687 0.775  0.0092 ** 
225464 0.775  0.0092 ** 
325820 0.775  0.0092 ** 
60815  0.775  0.0092 ** 
241447 0.775  0.0092 ** 
217881 0.775  0.0092 ** 
152291 0.775  0.0092 ** 
360408 0.775  0.0092 ** 
114547 0.775  0.0092 ** 
569201 0.775  0.0092 ** 
145701 0.775  0.0092 ** 
565618 0.775  0.0092 ** 
554198 0.775  0.0092 ** 
578382 0.775  0.0092 ** 
525955 0.775  0.0092 ** 
101215 0.775  0.0092 ** 
270711 0.775  0.0092 ** 
525962 0.775  0.0092 ** 
382628 0.775  0.0092 ** 
584987 0.775  0.0092 ** 
571300 0.775  0.0092 ** 
146517 0.775  0.0092 ** 
545634 0.775  0.0092 ** 
232933 0.775  0.0092 ** 
247883 0.775  0.0092 ** 
578372 0.775  0.0092 ** 
80197  0.775  0.0092 ** 
245082 0.775  0.0092 ** 
105837 0.775  0.0092 ** 
109168 0.775  0.0092 ** 
239769 0.775  0.0092 ** 
251268 0.775  0.0092 ** 
149156 0.775  0.0092 ** 
326517 0.775  0.0092 ** 
271588 0.775  0.0092 ** 
108457 0.775  0.0092 ** 
566082 0.775  0.0092 ** 
593277 0.775  0.0092 ** 
230769 0.775  0.0092 ** 
222673 0.775  0.0091 ** 
304078 0.775  0.0092 ** 
284644 0.775  0.0092 ** 
82023  0.775  0.0092 ** 
342865 0.775  0.0092 ** 
205855 0.775  0.0092 ** 
252788 0.775  0.0092 ** 
252967 0.775  0.0092 ** 
274126 0.775  0.0092 ** 
160173 0.775  0.0092 ** 
47339  0.775  0.0092 ** 
250672 0.775  0.0092 ** 
556825 0.775  0.0092 ** 
105839 0.775  0.0092 ** 
336034 0.775  0.0092 ** 
81623  0.775  0.0092 ** 
593891 0.775  0.0092 ** 
232442 0.775  0.0092 ** 
252798 0.775  0.0092 ** 
355297 0.775  0.0092 ** 
105224 0.775  0.0092 ** 
152020 0.775  0.0092 ** 
218039 0.775  0.0092 ** 
238907 0.775  0.0092 ** 
276838 0.775  0.0092 ** 
73076  0.775  0.0092 ** 
553953 0.775  0.0092 ** 
271962 0.775  0.0092 ** 
509120 0.775  0.0092 ** 
538794 0.775  0.0092 ** 
75874  0.775  0.0092 ** 
514003 0.775  0.0092 ** 
341275 0.775  0.0092 ** 
142005 0.775  0.0092 ** 
237962 0.775  0.0092 ** 
509823 0.775  0.0092 ** 
590533 0.775  0.0092 ** 
533525 0.775  0.0092 ** 
235270 0.775  0.0092 ** 
294313 0.775  0.0092 ** 
531025 0.775  0.0092 ** 
161914 0.775  0.0092 ** 
3677   0.775  0.0092 ** 
66935  0.775  0.0092 ** 
589751 0.775  0.0092 ** 
224203 0.775  0.0092 ** 
252501 0.775  0.0092 ** 
214042 0.775  0.0092 ** 
75044  0.775  0.0092 ** 
141984 0.775  0.0092 ** 
240529 0.775  0.0092 ** 
236775 0.775  0.0092 ** 
144789 0.775  0.0092 ** 
162113 0.775  0.0092 ** 
273538 0.775  0.0092 ** 
194730 0.775  0.0092 ** 
545706 0.775  0.0092 ** 
226421 0.775  0.0092 ** 
590326 0.775  0.0092 ** 
583865 0.775  0.0092 ** 
272259 0.775  0.0092 ** 
509593 0.775  0.0092 ** 
1710   0.775  0.0092 ** 
581733 0.775  0.0092 ** 
146478 0.775  0.0092 ** 
262036 0.775  0.0092 ** 
326537 0.775  0.0092 ** 
217242 0.775  0.0092 ** 
522476 0.775  0.0092 ** 
574895 0.775  0.0092 ** 
557689 0.775  0.0092 ** 
132450 0.775  0.0092 ** 
144899 0.775  0.0092 ** 
1732   0.775  0.0092 ** 
553643 0.775  0.0092 ** 
540847 0.775  0.0092 ** 
167800 0.775  0.0092 ** 
51852  0.775  0.0092 ** 
143270 0.775  0.0092 ** 
159929 0.775  0.0092 ** 
169793 0.775  0.0092 ** 
589700 0.775  0.0092 ** 
543239 0.775  0.0092 ** 
541641 0.775  0.0092 ** 
252204 0.775  0.0092 ** 
28793  0.775  0.0092 ** 
241451 0.775  0.0092 ** 
185827 0.775  0.0092 ** 
252958 0.775  0.0092 ** 
204759 0.775  0.0092 ** 
216828 0.775  0.0089 ** 
1596   0.775  0.0092 ** 
519950 0.775  0.0092 ** 
267722 0.775  0.0092 ** 
240862 0.775  0.0092 ** 
235848 0.775  0.0092 ** 
270180 0.775  0.0092 ** 
536090 0.775  0.0092 ** 
222914 0.775  0.0092 ** 
156917 0.775  0.0092 ** 
338969 0.775  0.0092 ** 
210788 0.775  0.0092 ** 
539821 0.775  0.0092 ** 
151664 0.775  0.0092 ** 
353925 0.775  0.0092 ** 
224152 0.775  0.0092 ** 
248805 0.775  0.0092 ** 
155778 0.775  0.0092 ** 
513679 0.775  0.0092 ** 
206560 0.775  0.0092 ** 
200868 0.775  0.0092 ** 
543327 0.775  0.0092 ** 
259898 0.775  0.0092 ** 
570808 0.775  0.0092 ** 
339617 0.775  0.0092 ** 
255540 0.775  0.0092 ** 
257782 0.775  0.0092 ** 
83178  0.775  0.0092 ** 
563388 0.775  0.0092 ** 
153831 0.775  0.0092 ** 
73086  0.775  0.0092 ** 
333159 0.775  0.0092 ** 
244050 0.775  0.0092 ** 
318107 0.775  0.0092 ** 
525666 0.775  0.0092 ** 
72455  0.775  0.0092 ** 
579256 0.775  0.0092 ** 
113272 0.775  0.0092 ** 
563596 0.775  0.0092 ** 
247225 0.775  0.0092 ** 
2805   0.775  0.0089 ** 
319990 0.775  0.0092 ** 
545203 0.775  0.0092 ** 
201662 0.775  0.0092 ** 
153928 0.775  0.0092 ** 
152343 0.775  0.0092 ** 
30167  0.775  0.0092 ** 
145730 0.775  0.0092 ** 
200304 0.775  0.0092 ** 
245832 0.775  0.0092 ** 
577081 0.775  0.0092 ** 
324145 0.775  0.0092 ** 
28765  0.775  0.0092 ** 
329544 0.775  0.0092 ** 
238799 0.775  0.0092 ** 
304581 0.775  0.0092 ** 
558118 0.775  0.0092 ** 
85331  0.775  0.0092 ** 
238659 0.775  0.0092 ** 
246619 0.775  0.0092 ** 
2862   0.775  0.0092 ** 
50220  0.775  0.0092 ** 
581403 0.775  0.0092 ** 
201687 0.775  0.0092 ** 
279355 0.775  0.0092 ** 
544572 0.775  0.0092 ** 
219735 0.775  0.0092 ** 
517627 0.775  0.0092 ** 
269210 0.775  0.0092 ** 
223251 0.775  0.0092 ** 
238340 0.775  0.0092 ** 
211992 0.775  0.0092 ** 
136324 0.775  0.0092 ** 
572899 0.775  0.0092 ** 
224072 0.775  0.0092 ** 
573896 0.775  0.0092 ** 
97060  0.775  0.0092 ** 
281663 0.775  0.0092 ** 
77607  0.775  0.0092 ** 
76995  0.775  0.0092 ** 
569953 0.775  0.0092 ** 
75442  0.775  0.0092 ** 
577551 0.775  0.0092 ** 
308664 0.775  0.0092 ** 
282718 0.775  0.0092 ** 
163720 0.775  0.0092 ** 
143747 0.775  0.0092 ** 
568807 0.775  0.0092 ** 
250645 0.775  0.0092 ** 
369522 0.775  0.0092 ** 
221811 0.775  0.0092 ** 
225301 0.775  0.0092 ** 
241676 0.775  0.0092 ** 
225404 0.775  0.0092 ** 
160921 0.775  0.0092 ** 
512939 0.775  0.0092 ** 
284171 0.775  0.0092 ** 
226939 0.775  0.0092 ** 
74169  0.775  0.0092 ** 
542211 0.775  0.0092 ** 
552001 0.775  0.0092 ** 
66912  0.775  0.0092 ** 
162849 0.775  0.0092 ** 
235963 0.775  0.0092 ** 
100980 0.775  0.0092 ** 
570248 0.775  0.0092 ** 
277874 0.775  0.0092 ** 
69761  0.775  0.0092 ** 
264526 0.775  0.0092 ** 
102061 0.775  0.0092 ** 
278445 0.775  0.0092 ** 
2744   0.775  0.0092 ** 
544167 0.775  0.0092 ** 
194108 0.775  0.0092 ** 
563339 0.775  0.0092 ** 
552873 0.775  0.0092 ** 
143557 0.775  0.0092 ** 
203941 0.775  0.0092 ** 
143216 0.775  0.0092 ** 
542855 0.775  0.0092 ** 
154220 0.775  0.0092 ** 
330804 0.775  0.0092 ** 
113017 0.775  0.0092 ** 
361865 0.775  0.0092 ** 
184557 0.775  0.0092 ** 
173719 0.775  0.0092 ** 
102457 0.775  0.0092 ** 
224206 0.775  0.0092 ** 
584294 0.775  0.0092 ** 
589921 0.775  0.0092 ** 
183481 0.775  0.0092 ** 
587690 0.775  0.0092 ** 
16227  0.775  0.0092 ** 
16239  0.775  0.0092 ** 
587566 0.775  0.0092 ** 
587360 0.775  0.0092 ** 
591475 0.775  0.0092 ** 
578409 0.775  0.0092 ** 
325962 0.775  0.0092 ** 
65412  0.775  0.0092 ** 
100124 0.775  0.0092 ** 
161464 0.775  0.0092 ** 
232505 0.773  0.0239 *  
200064 0.772  0.0092 ** 
193229 0.772  0.0126 *  
172221 0.772  0.0126 *  
571923 0.772  0.0126 *  
107148 0.772  0.0092 ** 
323018 0.772  0.0165 *  
204219 0.771  0.0205 *  
196940 0.771  0.0126 *  
561793 0.771  0.0126 *  
576076 0.771  0.0126 *  
375870 0.771  0.0489 *  
2742   0.771  0.0169 *  
143650 0.771  0.0126 *  
284321 0.771  0.0126 *  
198749 0.771  0.0126 *  
531244 0.770  0.0126 *  
222624 0.770  0.0092 ** 
66925  0.770  0.0092 ** 
441506 0.770  0.0126 *  
573659 0.770  0.0165 *  
141738 0.770  0.0126 *  
282711 0.770  0.0250 *  
204465 0.769  0.0253 *  
573491 0.769  0.0092 ** 
587540 0.769  0.0161 *  
593905 0.769  0.0092 ** 
219858 0.769  0.0117 *  
34985  0.769  0.0126 *  
543083 0.769  0.0160 *  
544325 0.769  0.0188 *  
332574 0.769  0.0092 ** 
91949  0.769  0.0160 *  
563745 0.769  0.0092 ** 
329486 0.769  0.0092 ** 
353756 0.768  0.0126 *  
160740 0.768  0.0126 *  
233441 0.768  0.0126 *  
135349 0.768  0.0167 *  
275285 0.768  0.0126 *  
137279 0.768  0.0126 *  
174634 0.768  0.0117 *  
75260  0.768  0.0130 *  
227051 0.768  0.0222 *  
212910 0.768  0.0187 *  
